City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Iqaluit,CA,63.7506,-68.5145,33.53,80,75,3.0,broken clouds
1,Old Shinyanga,TZ,-3.55,33.4,75.42,54,99,3.22,overcast clouds
2,Atar,MR,20.5169,-13.0499,86.02,15,0,11.41,clear sky
3,Rikitea,PF,-23.1203,-134.9692,73.26,73,100,20.69,overcast clouds
4,Bluff,NZ,-46.6,168.3333,63.81,72,29,9.33,scattered clouds
5,Provideniya,RU,64.3833,-173.3,41.11,81,90,15.66,light rain
6,Vao,NC,-22.6667,167.4833,71.11,88,1,11.83,clear sky
7,Yellowknife,CA,62.456,-114.3525,40.41,100,90,3.44,light intensity drizzle
8,Leningradskiy,RU,69.3833,178.4167,24.15,92,100,0.94,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,63.48,51,63,3.98,broken clouds
10,Vanimo,PG,-2.6741,141.3028,80.53,86,100,2.62,heavy intensity rain
11,Bredasdorp,ZA,-34.5322,20.0403,53.28,92,2,7.4,clear sky
12,Farafangana,MG,-22.8167,47.8333,69.66,82,52,4.88,broken clouds
13,Victoria,HK,22.2855,114.1577,86.38,71,27,1.99,scattered clouds
14,Kodiak,US,57.79,-152.4072,44.28,60,78,5.7,broken clouds
15,Hermanus,ZA,-34.4187,19.2345,53.8,88,11,15.7,few clouds
16,Ushuaia,AR,-54.8,-68.3,37.06,81,40,19.57,light rain
17,Tiksi,RU,71.6872,128.8694,26.06,74,100,25.46,overcast clouds
18,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,60.44,41,0,6.13,clear sky
19,Gamba,GA,-2.65,10.0,75.72,88,100,6.69,overcast clouds
20,Butaritari,KI,3.0707,172.7902,81.86,69,98,9.8,overcast clouds
21,Linda,US,39.1277,-121.5508,94.08,20,1,5.75,clear sky
22,Thompson,CA,55.7435,-97.8558,50.43,29,61,5.17,broken clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,54,5.01,broken clouds
24,Ribeira Grande,PT,38.5167,-28.7,72.63,83,100,12.17,overcast clouds
25,Dok Kham Tai,TH,19.1624,99.9934,72.21,95,12,1.9,few clouds
26,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,53,75,12.66,broken clouds
27,Te Anau,NZ,-45.4167,167.7167,60.08,70,85,3.38,overcast clouds
28,Persianovskiy,RU,47.5137,40.1075,45.12,65,0,11.18,clear sky
29,Tarko-Sale,RU,64.9225,77.785,30.87,97,100,16.53,light snow
30,Mount Gambier,AU,-37.8333,140.7667,56.57,59,5,13.44,clear sky
31,Trelew,AR,-43.249,-65.3051,61.75,26,79,8.88,broken clouds
